"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149 / 주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-04-11"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 서울특별시"
"시군구 : 전체"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"69","서울특별시 종로구 사직동","9","0009","0000","광화문스페이스본(101동~105동)","136.4000","202402","23","       167,000","-","11","개인","개인","2008","사직로8길 4","-","중개거래","서울 종로구","-"
"70","서울특별시 종로구 사직동","9","0009","0000","광화문스페이스본(101동~105동)","159.0100","202402","16","       190,000","-","13","개인","개인","2008","사직로8길 4","-","중개거래","서울 강남구","-"
"71","서울특별시 종로구 사직동","9","0009","0000","광화문스페이스본(101동~105동)","131.4400","202403","09","       173,500","-","9","개인","개인","2008","사직로8길 4","-","중개거래","서울 종로구","-"
"72","서울특별시 종로구 내수동","72","0072","0000","경희궁의아침3단지","149.0000","202401","13","       192,000","-","4","개인","개인","2004","사직로8길 34","-","중개거래","서울 종로구","-"
"73","서울특별시 종로구 익선동","55","0055","0000","현대뜨레비앙","43.9800","202403","12","        40,500","-","5","개인","개인","2003","돈화문로11가길 59","-","중개거래","서울 종로구","-"
"74","서울특별시 종로구 익선동","55","0055","0000","현대뜨레비앙","48.5400","202403","04","        42,500","-","7","개인","개인","2003","돈화문로11가길 59","-","중개거래","서울 종로구","-"
"75","서울특별시 종로구 명륜1가","2-12","0002","0012","송림아마레스아파트","75.6200","202401","26","        57,400","-","5","개인","개인","2003","성균관로17길 22","-","중개거래","서울 종로구","24.02.05"
"76","서울특별시 종로구 명륜1가","33-85","0033","0085","리치캐슬아파트","64.6800","202401","04","        46,000","-","4","개인","개인","2003","성균관로14길 19","-","중개거래","서울 종로구","24.02.29"
"77","서울특별시 종로구 명륜2가","4","0004","0000","아남1","84.9000","202403","03","       124,000","-","18","개인","개인","1995","창경궁로 265","-","중개거래","서울 종로구","-"
"78","서울특별시 종로구 명륜2가","4","0004","0000","아남1","84.9000","202403","01","       122,000","-","8","개인","개인","1995","창경궁로 265","-","중개거래","서울 종로구","-"
"79","서울특별시 종로구 명륜2가","4","0004","0000","아남1","84.9000","202403","15","       106,000","-","4","개인","개인","1995","창경궁로 265","-","중개거래","서울 종로구","-"
"80","서울특별시 종로구 창신동","232","0232","0000","두산","59.9500","202402","13","        60,000","-","2","개인","개인","1999","지봉로5길 7","-","중개거래","서울 중구","-"
"81","서울특별시 종로구 창신동","702","0702","0000","창신쌍용1","54.7000","202402","27","        67,000","101","11","개인","개인","1992","동망산길 19","-","직거래","-","24.03.22"
"82","서울특별시 종로구 창신동","702","0702","0000","창신쌍용1","54.7000","202403","23","        57,500","-","3","개인","개인","1992","동망산길 19","-","중개거래","서울 종로구","-"
"83","서울특별시 종로구 창신동","702","0702","0000","창신쌍용1","54.7000","202403","30","        59,300","-","8","개인","개인","1992","동망산길 19","-","중개거래","서울 종로구","-"
"84","서울특별시 종로구 창신동","703","0703","0000","창신쌍용2","64.6600","202401","08","        57,500","202","9","개인","개인","1993","낙산길 198","-","중개거래","서울 종로구","24.02.23"
"85","서울특별시 종로구 창신동","703","0703","0000","창신쌍용2","64.6600","202402","02","        60,000","-","11","개인","개인","1993","낙산길 198","-","중개거래","서울 종로구","-"
"86","서울특별시 종로구 창신동","703","0703","0000","창신쌍용2","64.6600","202403","25","        57,300","-","14","개인","개인","1993","낙산길 198","-","중개거래","서울 종로구","-"
"87","서울특별시 종로구 창신동","703","0703","0000","창신쌍용2","79.8700","202402","05","        57,000","204","2","개인","개인","1993","낙산길 198","-","직거래","-","24.03.22"
"88","서울특별시 종로구 숭인동","2-1","0002","0001","종로센트레빌","84.9200","202401","19","        95,000","105","2","개인","개인","2008","동망산길 47","-","중개거래","서울 종로구","24.03.08"
"89","서울특별시 종로구 숭인동","2-1","0002","0001","종로센트레빌","59.9200","202403","05","        79,700","-","10","개인","법인","2008","동망산길 47","-","중개거래","서울 종로구","-"
"90","서울특별시 종로구 숭인동","2-1","0002","0001","종로센트레빌","84.9200","202403","29","        96,000","-","5","개인","개인","2008","동망산길 47","-","중개거래","서울 종로구","-"
"91","서울특별시 종로구 숭인동","181-121","0181","0121","도시그린빌라","44.4000","202402","17","        26,000","-","3","개인","개인","1997","숭인동1길 31","-","중개거래","서울 종로구","-"
"92","서울특별시 종로구 숭인동","202-3","0202","0003","종로중흥S클래스","17.8110","202402","15","        12,300","-","9","개인","개인","2013","종로66길 28","-","중개거래","서울 종로구","24.03.22"
"93","서울특별시 종로구 숭인동","318-2","0318","0002","삼전솔하임4차","15.0900","202401","09","        13,500","삼전솔하임4차","15","개인","개인","2014","지봉로4길 13","-","중개거래","서울 종로구","24.01.25"
"94","서울특별시 종로구 숭인동","494","0494","0000","동문(비동,씨동)(494-0)","59.9400","202402","24","        44,000","-","5","개인","개인","1997","숭인동2길 14-5","-","중개거래","서울 종로구","-"
"95","서울특별시 종로구 숭인동","766","0766","0000","종로청계힐스테이트","59.9426","202403","29","        79,000","-","3","개인","개인","2009","숭인동길 21","-","중개거래","서울 종로구","-"
"96","서울특별시 종로구 숭인동","766","0766","0000","종로청계힐스테이트","59.9426","202401","27","        80,000","104","11","개인","개인","2009","숭인동길 21","-","중개거래","서울 종로구","24.02.27"
"97","서울특별시 종로구 숭인동","766","0766","0000","종로청계힐스테이트","84.9478","202401","19","       101,300","-","13","개인","개인","2009","숭인동길 21","-","중개거래","서울 종로구","-"
"98","서울특별시 종로구 숭인동","1421-1","1421","0001","종로동광모닝스카이","15.8550","202402","23","        11,400","-","11","개인","개인","2013","난계로29가길 24","-","중개거래","서울 종로구","24.03.11"
"99","서울특별시 종로구 숭인동","1421-1","1421","0001","종로동광모닝스카이","15.8550","202402","29","        11,000","-","15","개인","개인","2013","난계로29가길 24","-","중개거래","서울 종로구","24.03.25"
"100","서울특별시 종로구 평동","233","0233","0000","경희궁자이(3단지)","84.8359","202401","27","       200,000","-","14","개인","개인","2017","경교장길 35","-","중개거래","서울 종로구","-"
"101","서울특별시 종로구 평동","233","0233","0000","경희궁자이(3단지)","59.7547","202403","12","       146,000","-","2","개인","개인","2017","경교장길 35","-","중개거래","서울 종로구","-"
"102","서울특별시 종로구 홍파동","199","0199","0000","경희궁자이(2단지)","59.8547","202401","24","       156,000","-","9","개인","개인","2017","송월길 99","-","중개거래","서울 종로구","-"
"103","서울특별시 종로구 홍파동","199","0199","0000","경희궁자이(2단지)","84.9895","202403","09","       193,000","-","15","개인","개인","2017","송월길 99","-","중개거래","서울 종로구","-"
"104","서울특별시 종로구 홍파동","199","0199","0000","경희궁자이(2단지)","84.8359","202402","25","       214,000","-","10","개인","개인","2017","송월길 99","-","중개거래","서울 종로구","-"
"105","서울특별시 종로구 홍파동","199","0199","0000","경희궁자이(2단지)","84.6140","202401","22","       200,000","-","4","개인","개인","2017","송월길 99","-","중개거래","서울 종로구","-"
"106","서울특별시 종로구 홍파동","199","0199","0000","경희궁자이(2단지)","84.8359","202401","18","       195,000","-","12","개인","개인","2017","송월길 99","-","중개거래","서울 종로구","-"
"107","서울특별시 종로구 홍파동","199","0199","0000","경희궁자이(2단지)","59.8655","202403","14","       153,000","-","7","개인","개인","2017","송월길 99","-","중개거래","서울 종로구","-"
"108","서울특별시 종로구 교북동","126","0126","0000","경희궁자이(4단지)","45.8790","202403","13","       104,000","-","16","개인","개인","2017","송월길 155","-","중개거래","서울 종로구","-"
